country,number,type,,"""country"",","number,","""type"",",,year_counted,"""year_counted"",",,,"Albania,","""Albania"",",,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"70,000",murdered_jews,,"""Latvia"",","70000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"25,000",murdered_jews,,"""Belgium"",","25000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"58,800",murdered_jews,,"""Greece"",","58800,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavi,"60,000",murdered_jews,,"""Yugoslavi"",","60000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,142,murdered_jews,,"""Bulgaria"",","142,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"7,500",murdered_jews,,"""Italy"",","7500,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,116,murdered_jews,,"""Denmark"",","116,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"1,000",murdered_jews,,"""Estonia"",","1000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,"1,200",murdered_jews,,"""Luxembourg"",","1200,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,7,murdered_jews,,"""Finland"",","7,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,758,murdered_jews,,"""Norway"",","758,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,100,murdered_jews,,"""Albania"",","100,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: https://www.statista.com/statistics/1070564/jewish-populations-deaths-by-country/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
